id	question	doc-id-list	answers
-8741190354190322635	who made more movies john wayne or clint eastwood		
-5975840199081721858	where did john i want a divorce come from		
-2092719796574890322	who invented the lightning rod and bifocal glasses		
-8157576354703508221	what are the time divisions of the geologic time scale		
-2662798521020328829	who sings another day of sun in la la land		
5336442305225205635	what are the characteristics of images formed on the retina		
7234795036285514967	where does the term hair of the dog come from		
-3879862814299373266	what do we say moral of the story in hindi		
916855638952437174	what disease does prince ernest have on victoria		
176015247081381216	what does that's what i like song mean		
-4498532868992877383	the story of the fault in our stars movie		
-7006992103083377531	what's the meaning of the name mary		
-3231980147373533502	when was the first plastic soda bottle made		
7221285497993533279	what story is wyatt from in super why		
4091668969076394204	name the ancient text which has discussed the six canons of indian		
2759778971409172947	what is the north south extension of west bengal		
5111641375010388827	where is mesopotamia located on the world map		
-2099035012540366373	when did the us ban smoking in public places		
-5372316857975167477	where was fast and the furious 7 filmed		
-804053608305865577	when does it start to get cold in north carolina		
-2789725702132223880	fahrenheit 451 what year does it take place		
-4875860373224776852	when do you have to be born to be a millenial		
-5771046941956755962	what is the height of the property brothers		
-625001742369768357	what was the iaf operating in kargil in 1999 codenamed		
-9154354153841874895	who was mariah carey song we belong together about		
6123105322309836123	what was one reason that the great depression spread quickly from the united states to other nations		
2032587086726469616	where is the united states nuclear waste stored		
3898223489909389588	consider the diagram lines e and c can be described as		
-8233728085674686490	who lead the soviet union at the end of ww2		
338122483181145853	when does farming start in the near east		
-1703465927339453351	who are the watchmen and what are their powers		
-877228302483123365	where are natural hazards involving mass wasting process most likely to occur		
5283982443016238594	where did jack in the box originate from		
-8734421162484371895	does babe die at the end of the movie		
7219413085219575642	what information do you need for your references		
-2394309093731561232	who makes up a grand jury in washington dc		
4285614744324847103	when did mt st helens erupt before 1980		
1918620600328532867	family guy back to the future rick astley		
-4555129691799339692	where did the expression dead ringer come from		
-5714026561919387276	where does working memory occur in the brain		
674957140302974365	what is the language of love french or spanish		
-9097466207295739279	what are the requirement of material management and control		
5985224814171812963	list different dance forms of india with states		
4558242403350837338	how many pure vowels are there in english language		
-1937927380132064841	what is the relationship between religion art and the social good		
-9168854058728197750	who invented the first bike in the world		
-4027554103277169748	in some jurisdictions juvenile courts are part of		
