id	question	doc-id-list	answers
8045984229282682032	who sang love the one you're with first	813602675_557-1132	`` Love the One You 're With '' is a song by folk rocker Stephen Stills . David Crosby and Graham Nash , Stills ' fellow members of Crosby , Stills & Nash , provide background vocals on the song . The song was also covered by a number of artists , including The Isley Brothers , Bucks Fizz , and Luther Vandross .
8116539286638468011	what were the companies that built the transcontinental railroad	854645346_667-1768	The rail line was built by three private companies: the Western Pacific Railroad Company, the Central Pacific Railroad Company, and the Union Pacific.
-3228156810154352180	what is the function of the human brain	808832753_788-2359	"The human brain is the central organ of the human nervous system, and with the spinal cord makes up the central nervous system. 
It controls most of the activities of the body, processing, integrating, and coordinating the information it receives from the sense organs, and making decisions as to the instructions sent to the rest of the body."
3987125231951435424	how did france contribute to the american victory in the revolutionary war	810567568_633-1317	France allied with the United States during the American Revolutionary War ( American War of Independence 1775 -- 1783 ) in 1778 , declared war on Great Britain , and sent its armies and navy to fight Britain while providing money and matériel to arm the new republic . France began secretly sending supplies in 1775 . Spain and the Netherlands joined France , making it a global war in which the British had no major allies .
4033741599548472305	what impact did the treaty of fontainebleau have on louisiana	790759903_108-711	The Treaty of Fontainebleau was a secret agreement of 1762 in which France ceded Louisiana to Spain. Having lost Canada, King Louis XV of France proposed to King Charles III of Spain that France should give Spain ``the country known as Louisiana, as well as New Orleans and the island in which the city is situated.''
1418137193354531640	where are they filming the tv series yellowstone	854732294_10169-10854	Filming took place at the Chief Joseph Ranch in Darby , Montana; near Park City , Utah; all three soundstages at the Utah Film Studio in Park City; in more than twenty locations in Utah , including the Salt Flats and Spanish Fork; at various locations in Montana.
3357197785218509494	administers the oath of office to the president	801359416_1989-3236	While the Constitution does not mandate that anyone in particular should administer the presidential oath of office, it is typically administered by the Chief Justice. There have been several exceptions, however. Overall, the presidential oath has been administered by 15 Chief Justices (one of whom - William Howard Taft - was also a former president), one Associate Justice, four federal judges, two New York state judges, and one notary public.
-6535437352408475447	what hymn did they play on the titanic	860691165_5625-6940	A first - class Canadian passenger , Mrs. Vera Dick , and several other passengers , alleged that the final tune played was that of the hymn `` Nearer , My God , to Thee '' . It is considered Bride either meant the hymn tune known as `` Autumn '' or the tune of the then - popular waltz `` Songe d'Automne '' but neither was in the White Star Line songbook for the band .::A first-class Canadian passenger, Mrs. Vera Dick, and several other passengers, alleged that the final tune played was that of the hymn ``Nearer, My God, to Thee'', but Mrs. Dick had left by lifeboat an hour and 20 minutes earlier and could not possibly have heard the band's final moments. Wireless operator Harold Bride heard the hymn tune known as ``Autumn'' or the tune of the then popular waltz ``Songe d'Automne'' but neither was in the White Star Line songbook for the band.
-7004734840398964545	who sang the bare necessities in jungle book	853122528_462-1308	`` The Bare Necessities '' is a song , written by Terry Gilkyson , from the animated 1967 Disney film The Jungle Book , sung by Phil Harris as Baloo and Bruce Reitherman as Mowgli . A reprise of the song was sung by Sebastian Cabot as Bagheera and Phil Harris as Baloo at the end of the film . The song was also sung by Louis Armstrong . A hip - hop version of the song performed by Lou Rawls was used as the theme song for Jungle Cubs .::``The Bare Necessities'' is a song from the Disney film The Jungle Book, sung by Phil Harris as Baloo and Bruce Reitherman as Mowgli. A reprise of the song was sung by Sebastian Cabot as Bagheera and Phil Harris as Baloo at the end of the film. The song was also sung by Louis Armstrong . A hip - hop version, performed by Lou Rawls, was used as the theme song for Jungle Cubs .
7704053979528747207	what does the grana do in a plant cell	865087067_496-958	Chloroplast thylakoids frequently form stacks of disks referred to as grana. Grana are connected by intergranal or stroma thylakoids, which join granum stacks together as a single functional compartment. Thylakoids are the site of the light - dependent reactions of photosynthesis.
-6378513022733673487	what is the most selling movie of all time	804932825_3807-5037	With a worldwide box - office gross of over $2.7 billion , Avatar is often proclaimed to be the `` highest - grossing '' film , but such claims usually refer to theatrical revenues only and do not take into account home video and television income , which can form a significant portion of a film 's earnings . After home video income is accounted for , both films (Titanic and Avatar) have earned over $3 billion .
-8716739262777106136	where are genes located what are their functions	855218148_419-1309	In biology , a gene is a sequence of DNA or RNA that codes for a molecule that has a function .The transmission of genes to an organism 's offspring is the basis of the inheritance of phenotypic traits . These genes make up different DNA sequences called genotypes . Most biological traits are under the influence of polygenes ( many different genes ) as well as gene -- environment interactions .
1465521168294687740	where does how now brown cow come from	810824228_224-970	`` How now brown cow '' is a phrase used in elocution teaching to demonstrate rounded vowel sounds.  The use of the phrase `` how now brown cow '' in teaching elocution can be dated back to at least 1926.
-5390270947453055029	what is the order of the thor films	821240418_2382-2786	Thor premiered on April 17 , 2011. A sequel , Thor : The Dark World , was released on November 8 , 2013 . A third film , Thor : Ragnarok , was released on November 3 , 2017 .
-7811056010021023549	the coquette or the history of eliza wharton summary	863056861_4130-5846	Eliza Wharton has just been released from an unwanted marriage by the death of her betrothed. After this experience, she decides she wants friendship and independence. After a short period she is courted by two men, Boyer, a respected but rather boring clergyman, and Sanford, an aristocratic libertine. Eliza eventually decides that she really loved Boyer, but Boyer has already decided to marry Maria Selby. Sanford later reappears married, but is able to seduce the depressed Eliza. Like the real - life Elizabeth Whitman, she dies due to childbirth complications and is buried by strangers.
-7026292704542519105	who won the first land battle of the civil war	852859365_1626-2287	First Battle of Bull Run was the first major battle of the American Civil War . It was a Confederate victory , followed by a disorganized retreat of the Union forces .
26460100276487942	nba players to win back to back finals mvp	853741235_1287-2869	Hakeem Olajuwon, Kevin Durant, Kobe Bryant , and LeBron James have won the award in two consecutive seasons .::Hakeem Olajuwon, Kevin Durant, Kobe Bryant , and LeBron James have won the award in two consecutive seasons.  Michael Jordan and Shaquille O'Neal are the only players to win the award in three consecutive seasons (Jordan accomplished the feat on two separate occasions).
-2723957341197782107	what are the functions of parenchyma collenchyma and sclerenchyma	824795491_185-934	Parenchyma forms the `` filler '' tissue in the soft parts of plants. Collenchyma provides extra structural support , particularly in regions of new growth . Sclerenchyma provides the main structural support to a plant .
-4175092425154624123	what happens to mr rochester in jane eyre	826428723_12696-13733	Jane Eyre learns that Mr. Rochester's wife set the house on fire and committed suicide by jumping from the roof. In his rescue attempts, Mr. Rochester lost a hand and his eyesight. Jane reunites with him, but he fears that she will be repulsed by his condition. When Jane assures him of her love and tells him that she will never leave him, Mr. Rochester again proposes, and they are married. He eventually recovers enough sight to see their firstborn son.
136255644509478630	what are some famous foods in el salvador	802530767_1122-1883	El Salvador 's most notable dish is the pupusa , a thick handmade corn flour or rice flour tortilla stuffed with cheese , chicharrón , refried beans or loroco  . Pollo encebollado is another popular Salvadoran dish.
-8540362714220645784	where do they speak afrikaans in the world	815918708_949-1915	Afrikaan is a West Germanic language spoken in South Africa , Namibia and , to a lesser extent , Botswana and Zimbabwe . It is the first language of most of the Afrikaners and Coloureds of Southern Africa .
1036460266194359568	who said we will bury you from within	859837448_132-525	`` We will bury you ! '' is a phrase that was used by Soviet premier Nikita Khrushchev.
1056297453558018137	what was the significance of the camp david accord's of 1979	857093760_607-1383	The first framework ( A Framework for Peace in the Middle East ) , which dealt with the Palestinian territories , was written without participation of the Palestinians and was condemned by the United Nations . The second of these frameworks ( A Framework for the Conclusion of a Peace Treaty between Egypt and Israel ) led directly to the 1979 Egypt -- Israel Peace Treaty .
-9167474954757146241	when was on my own from les miserables written	828561495_722-1339	When the English version was written , the music for `` On My Own '' was adapted from the original French solo `` L'Air de la Misère '' which was sung by Fantine about her misery and suffering.
-7632288323485856643	where were motte and bailey castles built in england	846260287_16960-18575	This could cause extensive damage : records suggest that in Lincoln 166 houses were destroyed , with 113 in Norwich and 27 in Cambridge . Some regional patterns in castle building can be seen -- relatively few castles were built in East Anglia compared to the west of England or the Marches. In Wales , the first wave of the Norman castles were again predominantly made of wood in a mixture of motte - and - bailey and ringwork designs . After the Norman conquest of England and Wales , the building of motte - and - bailey castles in Normandy accelerated as well , resulting in a broad swath of these castles across the Norman territories , around 741 motte - and - bailey castles in England and Wales alone .
-6413137982283293434	why was salt considered as valuable as gold in ancient mali	820328208_26991-28595	While it was as good as gold in the north , it was even better in the south . The people of the south needed salt for their diet , but it was extremely rare .  Ibn Battuta mentions that the value of salt increased fourfold when transported between Oualata and the Malian capital .
